job_title,comp_name,job_type
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
Senior Illustration Artist (2D),ZINAD IT -,Full Time
Senior Illustrator,Nahdet Misr Publishing Group -,Full Time
Graphic Designer,Confidential -,Full Time
Graphic Designer,Elsaba AutoService -,Full Time
Graphic Designer Internship,Osolutions -,Internship
Graphic Designer,Osolutions -,Full Time
Senior Graphic Designer (UX/UI),Confidential -,Full TimePart TimeWork From Home
Graphic Designer,Confidential -,Full Time
Graphic Designer,Bionco  -,Full Time
Junior Graphic Designer,Wham Clinics  -,Full Time
Graphic Designer,Confidential -,Full TimeWork From Home
Graphic Designer,Evention -,Full Time
Graphic Designer,Shoura Chemicals  -,Full Time
Onsite Graphic Designer,MAJID AL FUTTAIM -,Full Time
Graphic Designer,Damac for Real Estate  -,Full Time
